[09-07 16:21:55] gate driver started (pid 9118)
[09-07 16:21:55] gate driver started (pid 9119)
[09-07 16:22:06] gate driver started (pid 9124)
[09-07 16:22:06] gate driver started (pid 9125)
[09-07 16:22:17] gate driver started (pid 9132)
[09-07 16:22:17] gate driver started (pid 9133)
[09-07 16:22:28] gate driver started (pid 9149)
[09-07 16:22:28] gate driver started (pid 9150)
[09-07 16:22:39] gate driver started (pid 9156)
[09-07 16:22:39] gate driver started (pid 9155)
[09-07 16:22:51] gate driver started (pid 9161)
[09-07 16:22:51] gate driver started (pid 9162)
[09-07 16:23:02] gate driver started (pid 9167)
[09-07 16:23:02] gate driver started (pid 9168)
[09-07 16:23:13] gate driver started (pid 9174)
[09-07 16:23:13] gate driver started (pid 9175)
[09-07 16:23:24] gate driver started (pid 9184)
[09-07 16:23:24] gate driver started (pid 9185)
[09-07 16:23:35] gate driver started (pid 9191)
[09-07 16:23:35] gate driver started (pid 9190)
[09-07 16:23:47] gate driver started (pid 9199)
[09-07 16:23:47] gate driver started (pid 9200)
[09-07 16:23:57] gate driver started (pid 9207)
[09-07 16:23:57] gate driver started (pid 9208)
[09-07 16:24:08] gate driver started (pid 9225)
[09-07 16:24:08] gate driver started (pid 9226)
[09-07 16:24:19] gate driver started (pid 9235)
[09-07 16:24:19] gate driver started (pid 9234)
[09-07 16:24:29] gate driver started (pid 9250)
[09-07 16:24:29] gate driver started (pid 9251)
[09-07 16:24:40] gate driver started (pid 9263)
[09-07 16:24:40] gate driver started (pid 9264)
[09-07 16:24:51] gate driver started (pid 9272)
[09-07 16:24:51] gate driver started (pid 9271)
[09-07 16:25:01] gate driver started (pid 9279)
[09-07 16:25:01] gate driver started (pid 9280)
[09-07 16:25:12] gate driver started (pid 9289)
[09-07 16:25:12] gate driver started (pid 9288)
[09-07 16:25:23] gate driver started (pid 9314)
[09-07 16:25:23] gate driver started (pid 9315)
[09-07 16:25:33] gate driver started (pid 9344)
[09-07 16:25:33] gate driver started (pid 9343)
[09-07 16:25:44] gate driver started (pid 9374)
[09-07 16:25:44] gate driver started (pid 9373)
[09-07 16:25:56] gate driver started (pid 9407)
[09-07 16:25:56] gate driver started (pid 9408)
[09-07 16:26:06] gate driver started (pid 9417)
[09-07 16:26:06] gate driver started (pid 9418)
[09-07 16:26:17] gate driver started (pid 9438)
[09-07 16:26:17] gate driver started (pid 9439)
[09-07 16:26:28] gate driver started (pid 9450)
[09-07 16:26:28] gate driver started (pid 9449)
[09-07 16:26:38] gate driver started (pid 9458)
[09-07 16:26:38] gate driver started (pid 9457)
